Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
James Harden,201935,HOU,78,2818,518,586,158,58,378,387,28,9,34,7,2832.0,36.31
Russell Westbrook,201566,OKC,73,1675,807,784,142,33,119,325,5,0,57,34,2643.0,36.21
Anthony Davis,203076,NOP,56,1452,672,218,88,135,48,112,7,0,37,0,2018.0,36.04
Giannis Antetokounmpo,203507,MIL,72,1994,898,424,92,110,52,268,6,1,54,5,2552.0,35.44
Joel Embiid,203954,PHI,64,1761,871,234,46,122,79,226,5,0,58,2,2202.0,34.41
LeBron James,2544,LAL,55,1505,465,454,72,33,111,197,3,1,32,8,1792.0,32.58
Karl-Anthony Towns,1626157,MIN,77,1880,954,259,67,125,142,240,3,0,54,0,2425.0,31.49
Andre Drummond,203083,DET,79,1370,1232,112,136,138,5,175,0,0,69,0,2473.5,31.31
Paul George,202331,OKC,77,2159,628,318,170,34,292,205,7,0,24,1,2407.5,31.27
Nikola Jokić,203999,DEN,80,1604,865,580,108,55,83,248,1,0,56,12,2447.5,30.59
Nikola Vučević,202696,ORL,80,1665,960,307,81,89,84,159,0,0,60,1,2384.5,29.81
Rudy Gobert,203497,UTA,81,1284,1041,161,66,187,0,130,0,0,66,0,2286.0,28.22
Stephen Curry,201939,GSW,69,1881,369,361,92,25,354,192,8,1,3,0,1901.5,27.56
Kawhi Leonard,202695,TOR,60,1596,439,199,106,24,112,121,2,0,14,0,1647.0,27.45
Kevin Durant,201142,GSW,78,2027,497,457,58,84,137,225,4,1,16,2,2120.0,27.18
Kyrie Irving,202681,BOS,67,1596,335,464,103,34,174,172,2,0,21,1,1811.0,27.03
Ben Simmons,1627732,PHI,79,1337,697,610,112,61,0,274,0,0,42,10,2109.5,26.7
Damian Lillard,203081,POR,80,2067,371,551,88,34,237,212,6,1,13,0,2126.0,26.57
Bradley Beal,203078,WAS,82,2099,411,448,121,58,209,224,5,0,11,2,2167.0,26.43
Jrue Holiday,201950,NOP,67,1420,334,518,109,54,118,210,0,0,18,0,1755.0,26.19
Clint Capela,203991,HOU,67,1114,848,96,44,102,0,94,0,0,45,0,1744.0,26.03
Kemba Walker,202689,CHA,82,2102,361,484,102,34,260,211,7,1,10,0,2105.0,25.67
Blake Griffin,201933,DET,75,1841,565,402,52,28,189,253,3,1,21,2,1918.0,25.57
Luka Dončić,1629029,DAL,72,1526,563,429,77,25,168,247,0,0,24,8,1836.0,25.5
John Wall,202322,WAS,32,663,116,279,49,29,51,121,1,0,10,0,798.0,24.94
LaMarcus Aldridge,200746,SAS,81,1727,744,194,43,107,10,144,2,1,32,0,1997.5,24.66
Jusuf Nurkić,203994,POR,72,1125,748,233,71,103,3,168,0,0,36,1,1763.0,24.49
Chris Paul,101108,HOU,58,906,265,473,114,18,127,152,0,0,18,1,1386.5,23.91
DeMarcus Cousins,202326,GSW,30,488,247,107,40,44,26,72,0,0,10,0,717.0,23.9
DeMar DeRozan,201942,SAS,77,1635,462,475,86,36,7,199,0,0,12,1,1817.0,23.6
Devin Booker,1626164,PHX,64,1700,265,433,56,13,135,264,5,2,12,0,1508.5,23.57
Julius Randle,203944,NOP,73,1565,634,229,52,45,67,208,1,0,31,1,1699.0,23.27
Kyle Lowry,200768,TOR,65,926,312,564,91,31,157,182,0,0,20,2,1503.5,23.13
Mike Conley,201144,MEM,70,1478,239,449,94,22,155,130,1,0,10,0,1617.5,23.11
Victor Oladipo,203506,IND,36,675,202,186,60,11,74,82,0,0,5,0,827.5,22.99
D'Angelo Russell,1626156,BKN,81,1712,315,563,100,20,234,253,3,0,14,0,1855.0,22.9
Jimmy Butler III,202710,PHI,65,1215,342,263,123,39,67,95,0,0,3,0,1478.0,22.74
Deandre Ayton,1629028,PHX,71,1159,729,125,61,67,0,126,0,0,39,0,1602.5,22.57
DeAndre Jordan,201599,NYK,69,758,902,156,42,73,0,153,0,0,42,0,1556.0,22.55
Hassan Whiteside,202355,MIA,72,887,817,56,46,136,2,97,0,0,36,0,1620.5,22.51
John Collins,1628381,ATL,61,1188,595,121,22,39,55,120,0,0,32,0,1371.5,22.48
Lauri Markkanen,1628374,CHI,52,974,470,75,37,33,120,85,0,0,20,0,1167.0,22.44
Kevin Love,201567,CLE,22,374,239,48,6,5,53,42,0,0,12,0,492.5,22.39
Marc Gasol,201188,TOR,79,1071,627,349,84,86,99,155,0,0,19,1,1767.0,22.37
Donovan Mitchell,1628378,UTA,77,1829,316,322,106,31,188,218,2,0,1,0,1705.5,22.15
Tobias Harris,202699,PHI,82,1644,645,229,51,37,156,151,0,0,15,0,1814.0,22.12
JaKarr Sampson,203960,CHI,4,80,32,4,4,3,5,4,0,0,0,0,88.5,22.12
De'Aaron Fox,1628368,SAC,81,1399,304,590,133,45,86,227,0,0,16,1,1783.5,22.02
Myles Turner,1626167,IND,74,984,531,115,60,199,76,100,0,0,17,0,1611.0,21.77
Steven Adams,203500,OKC,80,1108,760,124,117,76,0,135,0,0,29,0,1718.0,21.48
Zach LaVine,203897,CHI,63,1492,294,283,60,26,120,215,3,0,2,0,1345.0,21.35
Al Horford,201143,BOS,68,925,458,283,59,86,73,102,0,0,10,1,1440.0,21.18
Trae Young,1629027,ATL,81,1549,301,653,72,15,156,308,1,0,30,1,1705.5,21.06
Aaron Gordon,203932,ORL,78,1246,574,289,57,56,121,162,0,0,19,0,1629.5,20.89
Draymond Green,203110,GSW,66,486,481,454,95,70,47,169,0,0,8,0,1370.5,20.77
Khris Middleton,203114,MIL,77,1407,461,331,80,7,179,174,0,0,7,0,1592.0,20.68
Eric Bledsoe,202339,MIL,78,1241,362,430,116,29,124,165,0,0,8,1,1609.5,20.63
Danilo Gallinari,201568,LAC,68,1346,417,178,49,23,161,99,0,0,7,0,1400.5,20.6
Klay Thompson,202691,GSW,78,1680,299,186,84,47,241,115,3,1,0,0,1596.5,20.47
Pascal Siakam,1627783,TOR,80,1354,549,248,73,52,79,154,1,0,18,0,1628.5,20.36
Robert Covington,203496,MIN,35,465,193,46,74,47,85,47,0,0,2,0,711.0,20.31
Buddy Hield,1627741,SAC,82,1695,412,205,58,33,278,146,0,0,3,0,1642.5,20.03
Montrezl Harrell,1626149,LAC,82,1361,535,162,71,110,3,132,0,0,17,0,1626.0,19.83
Jamal Murray,1627750,DEN,75,1367,317,363,67,27,152,158,2,0,4,0,1475.5,19.67
Domantas Sabonis,1627734,IND,74,1043,690,212,48,30,9,160,0,0,30,0,1454.0,19.65
Serge Ibaka,201586,TOR,74,1112,601,99,29,103,49,114,0,0,22,0,1452.5,19.63
Willie Cauley-Stein,1626161,SAC,81,965,678,194,96,51,1,84,0,0,22,0,1587.0,19.59
CJ McCollum,203468,POR,70,1468,282,207,55,28,167,106,2,0,1,1,1371.5,19.59
Nikola Mirotic,202703,MIL,46,697,339,55,31,34,116,48,0,0,11,0,893.5,19.42
Larry Nance Jr.,1626204,CLE,67,627,552,214,100,40,33,97,0,0,18,0,1297.0,19.36
Jonas Valančiūnas,202685,MEM,49,763,419,70,19,53,14,90,0,0,16,0,947.5,19.34
Elfrid Payton,203901,NOP,42,446,220,320,44,17,33,112,0,0,10,6,811.5,19.32
Walt Lemon Jr.,1627215,CHI,6,86,27,30,11,1,2,10,0,0,0,0,115.0,19.17
Enes Freedom,202683,POR,67,915,659,116,32,26,10,118,0,0,32,0,1267.5,18.92
Jayson Tatum,1628369,BOS,79,1243,477,168,84,57,116,122,0,0,8,0,1492.5,18.89
Rajon Rondo,200765,LAL,46,424,243,367,57,7,51,127,0,0,14,1,864.5,18.79
Tristan Thompson,202684,CLE,43,470,438,86,28,16,0,59,0,0,19,0,807.0,18.77
Paul Millsap,200794,DEN,70,883,505,141,83,54,58,95,0,0,14,0,1309.5,18.71
Josh Richardson,1626196,MIA,73,1209,263,298,79,34,164,113,0,0,1,0,1361.5,18.65
Otto Porter Jr.,203490,CHI,56,780,314,120,82,31,104,65,0,0,6,0,1043.0,18.62
Andrew Wiggins,203952,MIN,73,1321,352,184,70,48,118,138,1,0,3,0,1357.5,18.6
Lou Williams,101150,LAC,75,1498,222,402,57,11,105,181,2,0,7,1,1391.5,18.55
RJ Hunter,1626154,BOS,1,17,3,3,1,0,4,0,0,0,0,0,18.5,18.5
Jarrett Allen,1628386,BKN,80,873,672,110,43,120,6,103,0,0,24,0,1468.5,18.36
Bobby Portis,1626171,WAS,50,710,403,72,35,20,75,74,0,0,14,0,917.5,18.35
Kyle Kuzma,1628398,LAL,70,1308,382,178,41,26,128,133,1,0,4,0,1284.0,18.34
Dewayne Dedmon,203473,ATL,64,693,480,90,69,71,83,84,0,0,11,0,1165.0,18.2
Lonzo Ball,1628366,LAL,47,465,251,255,69,19,75,103,0,0,4,1,855.0,18.19
Brook Lopez,201572,MIL,81,1009,396,98,51,179,187,82,0,0,2,0,1472.0,18.17
JaVale McGee,201580,LAL,75,897,566,52,47,148,1,108,0,0,14,0,1363.0,18.17
Jeremy Lamb,203087,CHA,79,1208,434,172,88,32,115,80,0,0,7,0,1434.5,18.16
Thaddeus Young,201152,IND,81,1024,523,204,123,36,51,123,0,0,10,0,1469.5,18.14
Trevor Ariza,2772,WAS,69,863,371,252,91,21,145,106,0,0,5,0,1250.0,18.12
Jeff Teague,201952,MIN,42,510,106,343,43,18,35,97,0,0,11,0,757.5,18.04
Marvin Bagley III,1628963,SAC,62,923,471,62,33,59,30,98,0,0,19,0,1114.5,17.98
T.J. Warren,203933,PHX,43,772,174,64,51,29,77,52,0,0,0,0,770.5,17.92
Derrick Favors,202324,UTA,76,897,560,89,56,106,17,84,0,0,15,0,1361.0,17.91
Rudy Gay,200752,SAS,69,946,470,182,54,34,74,114,0,0,9,0,1233.0,17.87
Kris Dunn,1627739,CHI,46,519,187,277,68,21,34,104,0,0,2,0,816.5,17.75
Joe Ingles,204060,UTA,82,994,330,469,98,20,189,193,0,0,7,0,1440.5,17.57
Brandon Ingram,1627742,LAL,52,950,267,154,28,31,31,129,0,0,2,0,902.5,17.36
Justise Winslow,1626159,MIA,66,830,355,282,72,19,96,142,0,0,6,0,1146.0,17.36
Dwight Howard,2730,WAS,9,115,83,4,7,4,0,16,0,0,3,0,153.5,17.06
Ricky Rubio,201937,UTA,68,864,243,416,91,10,79,180,0,0,7,0,1159.5,17.05
Kelly Oubre Jr.,1626162,PHX,69,1047,325,84,84,59,108,103,0,0,3,0,1172.5,16.99
Jerami Grant,203924,OKC,80,1090,417,79,61,100,115,67,0,0,4,0,1357.5,16.97
Jabari Parker,203953,WAS,64,930,421,152,46,30,61,151,0,0,8,0,1077.5,16.84
Darren Collison,201954,IND,76,853,232,459,110,9,79,125,0,0,6,0,1276.0,16.79
Malcolm Brogdon,1627763,MIL,64,1001,288,205,46,13,104,91,0,0,0,0,1072.5,16.76
Mitchell Robinson,1629011,NYK,66,485,423,37,52,161,0,35,0,0,11,0,1104.5,16.73
Dwyane Wade,2548,MIA,72,1083,285,301,59,38,86,166,0,0,4,1,1204.5,16.73
Derrick Rose,201565,MIN,51,917,140,220,31,12,54,82,1,1,1,0,852.5,16.72
Wendell Carter Jr.,1628976,CHI,44,455,307,78,26,58,6,65,0,0,7,0,725.5,16.49
Tim Hardaway Jr.,203501,DAL,65,1174,222,159,54,8,162,105,0,0,2,0,1070.0,16.46
Caris LeVert,1627747,BKN,40,547,151,156,42,14,48,69,0,0,0,0,647.5,16.19
Marcus Morris Sr.,202694,BOS,75,1046,458,109,43,25,146,92,0,0,5,0,1212.0,16.16
Bojan Bogdanovic,202711,IND,81,1454,333,161,69,1,164,134,0,0,0,0,1309.0,16.16
Bogdan Bogdanović,203992,SAC,70,990,243,267,72,15,134,117,0,0,1,0,1130.0,16.14
Jaren Jackson Jr.,1628991,MEM,58,798,272,64,52,82,51,98,0,0,2,0,932.5,16.08
Jemerrio Jones,1629203,LAL,6,27,49,13,7,5,2,5,0,0,1,0,96.5,16.08
Cody Zeller,203469,CHA,49,497,333,102,38,41,6,62,0,0,4,0,786.5,16.05
Dennis Schröder,203471,OKC,79,1224,284,323,65,12,124,172,0,0,3,0,1266.0,16.03
Noah Vonleh,203943,NYK,68,571,528,129,46,51,46,88,0,0,18,0,1089.5,16.02
Bam Adebayo,1628389,MIA,82,729,597,184,71,65,3,121,0,0,11,0,1309.0,15.96
Harrison Barnes,203084,SAC,77,1265,361,115,50,13,174,98,0,0,4,0,1227.5,15.94
Kyle Anderson,203937,MEM,43,346,251,128,54,37,9,58,0,0,2,1,684.5,15.92
Al-Farouq Aminu,202329,POR,81,760,610,104,68,33,96,72,0,0,12,0,1284.0,15.85
Spencer Dinwiddie,203915,BKN,68,1143,166,311,40,17,124,152,0,0,2,0,1074.5,15.8
JJ Redick,200755,PHI,76,1372,186,206,32,17,240,101,0,0,1,0,1196.0,15.74
Goran Dragic,201609,MIA,36,494,111,174,30,5,57,71,0,0,4,1,565.5,15.71
Marvin Williams,101107,CHA,75,756,407,92,71,61,140,47,0,0,5,0,1169.0,15.59
Dennis Smith Jr.,1628372,NYK,53,722,155,252,67,20,67,154,0,0,2,1,825.5,15.58
Evan Fournier,203095,ORL,81,1226,258,295,71,12,153,154,0,0,1,0,1255.5,15.5
Nicolas Batum,201587,CHA,75,699,390,247,71,43,116,117,0,0,0,0,1155.5,15.41
Terrence Ross,203082,ORL,81,1223,280,135,72,29,217,90,0,0,0,0,1247.0,15.4
Reggie Jackson,202704,DET,82,1260,216,344,55,9,174,148,0,0,0,0,1257.0,15.33
Mason Plumlee,203486,DEN,82,637,524,243,66,76,2,126,0,0,9,0,1253.5,15.29
Patrick Beverley,201976,LAC,78,596,388,300,67,43,112,85,0,0,6,0,1183.0,15.17
Jonathan Isaac,1628371,ORL,75,720,411,80,59,98,86,75,0,0,3,0,1136.0,15.15
Jordan Clarkson,203903,CLE,81,1364,270,196,57,13,144,135,1,0,1,0,1227.0,15.15
Gordon Hayward,202330,BOS,72,825,322,244,62,23,77,105,0,0,2,0,1084.0,15.06
Nemanja Bjelica,202357,SAC,77,741,444,147,54,56,103,82,0,0,9,0,1160.0,15.06
